"ncaa_id","espn_id"
"590530","103"
"590531","104"
"590645","107"
"590642","108"
"590665","111"
"590486","112358"
"590559","113"
"590575","116"
"590758","119"
"590519","12"
"590557","120"
"590564","127"
"590540","13"
"590565","130"
"590567","135"
"590706","139"
"590498","140"
"590571","142"
"590570","145"
"590806","147"
"590573","149"
"590616","150"
"590617","151"
"590816","152"
"590578","153"
"590774","154"
"590662","155"
"590606","156"
"590582","158"
"590607","159"
"590545","16"
"590652","160"
"590625","161"
"590690","163"
"590700","164"
"590654","166"
"590815","167"
"590603","171"
"590605","172"
"590702","179"
"590742","183"
"590532","189"
"590562","193"
"590674","194"
"590675","195"
"590676","197"
"590679","198"
"590803","2"
"590510","2000"
"590762","2005"
"590801","2006"
"590677","201"
"590511","2010"
"590512","2011"
"590515","2016"
"590761","202"
"590517","2026"
"590496","2029"
"590522","2031"
"590520","2032"
"590680","204"
"590523","2046"
"590524","2050"
"590503","2057"
"590527","2065"
"590528","2066"
"590537","2083"
"590538","2084"
"590539","2086"
"590590","2097"
"590591","2099"
"590708","21"
"590792","2110"
"590592","2115"
"590593","2116"
"590594","2117"
"590525","2127"
"590683","213"
"590595","2130"
"590596","2132"
"590808","2142"
"590604","2154"
"590608","2166"
"590609","2168"
"590611","2169"
"590613","2172"
"590614","2174"
"590743","218"
"590810","2181"
"590615","2182"
"590811","2184"
"590684","219"
"590618","2193"
"590619","2197"
"590620","2198"
"590621","2199"
"590686","221"
"590491","2210"
"590624","2217"
"590769","222"
"590627","2226"
"590628","2229"
"590631","2230"
"590543","2239"
"590492","2241"
"590633","2244"
"590637","2247"
"590535","225"
"590640","2250"
"590800","2253"
"590641","2261"
"590695","227"
"590504","2272"
"590644","2275"
"590646","2277"
"590598","228"
"590650","2287"
"590473","2294"
"590474","2296"
"590711","23"
"590478","2305"
"590477","2306"
"590479","2309"
"590632","231"
"590799","232"
"590483","2320"
"590481","2325"
"590484","2329"
"590725","233"
"590485","2335"
"590798","2344"
"590488","2348"
"590490","2349"
"590560","235"
"590550","2350"
"590549","2351"
"590548","2352"
"590746","236"
"590552","2363"
"590553","2368"
"590805","2377"
"590556","2378"
"590558","2379"
"590768","238"
"590561","2382"
"590526","239"
"590563","2390"
"590566","2393"
"590739","24"
"590569","2400"
"590572","2405"
"590807","2413"
"590574","2415"
"590696","242"
"590764","2426"
"590577","2427"
"590660","2428"
"590579","2429"
"590580","2430"
"590664","2433"
"590583","2437"
"590584","2439"
"590585","2440"
"590655","2443"
"590657","2447"
"590659","2448"
"590661","2449"
"590749","245"
"590658","2450"
"590509","2453"
"590499","2454"
"590667","2458"
"590668","2459"
"590544","2463"
"590666","2464"
"590671","2466"
"590817","2473"
"590647","248"
"590818","2483"
"590663","249"
"590685","2492"
"590547","25"
"590753","250"
"590688","2501"
"590687","2502"
"590689","2504"
"590494","2506"
"590691","2507"
"590692","2509"
"590754","251"
"590693","2514"
"590694","2515"
"590534","252"
"590698","2520"
"590699","2523"
"590701","2529"
"590735","253"
"590707","2534"
"590821","2535"
"590710","2539"
"590766","254"
"590546","2540"
"590719","2541"
"590728","2545"
"590727","2546"
"590495","2547"
"590720","2550"
"590797","256"
"590721","2561"
"590731","2565"
"590732","2567"
"590723","2569"
"590697","257"
"590822","2571"
"590733","2572"
"590724","2579"
"590773","258"
"590734","2582"
"590772","259"
"590703","2598"
"590704","2599"
"590588","26"
"590705","2603"
"590819","2608"
"590824","261"
"590820","2612"
"590740","2617"
"590741","2619"
"590736","2623"
"590717","2627"
"590750","2628"
"590748","2630"
"590747","2633"
"590744","2634"
"590745","2635"
"590756","2636"
"590755","2638"
"590776","264"
"590751","2640"
"590752","2641"
"590597","2643"
"590757","2649"
"590775","265"
"590759","2653"
"590760","2655"
"590770","2670"
"590767","2674"
"590771","2678"
"590825","2681"
"590554","269"
"590777","2692"
"590589","27"
"590787","270"
"590780","2710"
"590781","2711"
"590779","2717"
"590782","2724"
"590783","2729"
"590784","2737"
"590785","2739"
"590501","2747"
"590786","275"
"590788","2750"
"590789","2751"
"590790","2752"
"590791","2754"
"590812","2755"
"590555","276"
"590778","277"
"590713","2771"
"590542","278"
"590681","279"
"590715","28"
"590536","2803"
"590469","282"
"590712","2856"
"590471","2870"
"590506","288"
"590653","2885"
"590636","290"
"590669","2900"
"590502","2908"
"590500","2916"
"590682","292"
"590541","2934"
"590476","294"
"590678","295"
"590804","299"
"590729","30"
"590587","300"
"590709","301"
"590586","302"
"590648","304"
"590610","305"
"590508","3084"
"590738","309"
"590716","3101"
"590551","311"
"590472","314"
"590656","315"
"590482","322"
"590600","324"
"590599","325"
"590737","326"
"590765","328"
"590622","331"
"590513","333"
"590493","338"
"590623","339"
"590568","344"
"590763","349"
"590581","350"
"590814","356"
"590505","357"
"590601","36"
"590602","38"
"590514","399"
"590809","41"
"590827","43"
"590516","44"
"590634","45"
"590635","46"
"590813","47"
"590612","48"
"590802","5"
"590626","50"
"590629","52"
"590507","526"
"590475","55"
"590823","56"
"590630","57"
"590726","58"
"590638","59"
"590722","6"
"590639","61"
"590643","62"
"590796","66"
"590529","68"
"590649","70"
"590533","71"
"590672","77"
"590730","79"
"590521","8"
"590651","82"
"590470","84"
"590497","85"
"590673","87"
"590518","9"
"590714","91"
"590576","93"
"590670","94"
"590480","96"
"590489","97"
"590826","98"
"590487","99"
