"ncaa_id","espn_id"
"589074","2000"
"589284","2001"
"589530","2003"
"589002","2005"
"589020","2006"
"589075","2010"
"589021","333"
"589076","2011"
"589217","2013"
"589531","2790"
"589532","2015"
"589078","2016"
"589524","3162"
"589533","365"
"589534","2018"
"589355","2019"
"589535","2800"
"589218","2022"
"589536","7"
"589477","2023"
"593347","129469"
"589219","2025"
"589537","15"
"589022","2026"
"589023","9"
"589024","12"
"589026","8"
"589025","2032"
"589286","2033"
"589334","2028"
"589192","2029"
"589003","349"
"589220","308"
"589221","2038"
"589027","2"
"589538","124"
"589539","2042"
"589222","2043"
"589540","2044"
"589478","2045"
"589079","2046"
"589541","2047"
"589542","188"
"589028","2050"
"589543","121"
"589029","239"
"589528","2056"
"589544","266"
"589223","132"
"589224","490"
"589366","2283"
"589225","2060"
"589479","2757"
"589545","2062"
"589546","2802"
"589081","2065"
"589207","2069"
"589226","2071"
"589352","124180"
"589480","2074"
"589030","68"
"589031","103"
"589547","340"
"589227","2075"
"589032","189"
"589529","2913"
"589548","2079"
"589549","18"
"589550","2781"
"589082","225"
"589083","2803"
"589084","2083"
"589551","63"
"589034","2084"
"589552","2085"
"589085","2086"
"589033","252"
"589086","13"
"589036","25"
"589228","2094"
"593670","129738"
"589089","2097"
"589554","424"
"589555","2101"
"589556","2102"
"589557","32"
"589287","2105"
"589558","2106"
"589288","2107"
"589561","2108"
"589187","2110"
"589562","2964"
"589090","2115"
"589039","2117"
"589229","2118"
"589289","2122"
"589361","2119"
"589290","2120"
"589563","2121"
"589291","2123"
"589564","411"
"589080","2127"
"588951","2429"
"589173","236"
"589565","80"
"589566","3112"
"589040","2132"
"589567","17"
"589230","2134"
"589231","2805"
"589041","228"
"589444","2557"
"589042","324"
"589569","33"
"589092","2142"
"589440","2442"
"589044","38"
"589347","11"
"589232","2146"
"589043","36"
"589093","171"
"589293","2148"
"589571","2152"
"589570","2151"
"589343","3066"
"589481","409"
"589094","172"
"589572","2155"
"589573","2782"
"589329","2570"
"589574","40"
"589095","159"
"589096","2166"
"589097","2168"
"589098","2169"
"589576","2808"
"589233","2170"
"589577","2171"
"589575","83"
"589578","2175"
"589100","2181"
"589579","49"
"589046","150"
"589101","2184"
"589047","151"
"589339","2191"
"589234","2188"
"589483","2194"
"589103","2197"
"589104","2198"
"589422","2199"
"589235","2201"
"589048","127954"
"589105","331"
"589236","2205"
"589353","2206"
"589237","2207"
"589580","72"
"589188","2210"
"589354","2213"
"589294","2214"
"589512","452"
"589581","101"
"589295","2986"
"589316","2220"
"589582","2221"
"589317","2222"
"589583","366"
"589296","2224"
"589584","114"
"589106","50"
"589052","57"
"589051","52"
"589107","2230"
"589340","2231"
"589297","2237"
"589318","2232"
"589585","2967"
"589586","2234"
"589504","2233"
"589349","112334"
"589035","278"
"589348","341"
"589108","231"
"589587","417"
"589319","367"
"589189","2241"
"589522","2242"
"589484","2244"
"589109","46"
"589056","61"
"589053","290"
"589054","2247"
"589055","59"
"589588","2248"
"589298","2249"
"589110","2755"
"589320","125"
"589360","2839"
"589590","2256"
"589485","2257"
"589591","65"
"589592","146"
"589486","2258"
"589593","2968"
"589594","348"
"589595","162"
"589596","297"
"589111","2261"
"589487","2262"
"589597","2810"
"589299","2264"
"589598","173"
"589112","108"
"589057","62"
"589599","191"
"589300","2271"
"589488","418"
"589602","125974"
"589321","2273"
"589600","2274"
"589364","174"
"589113","107"
"589365","2812"
"589114","2277"
"589058","248"
"589115","47"
"589505","2758"
"589489","2938"
"589490","2280"
"589116","304"
"589073","70"
"589367","2286"
"589059","356"
"589117","2287"
"589323","2916"
"589060","84"
"589118","282"
"589322","2291"
"589062","2294"
"589061","66"
"589369","175"
"589119","2296"
"588977","55"
"588976","256"
"589370","2302"
"589371","118"
"589238","2304"
"589372","246"
"589373","126"
"589064","2305"
"589063","2306"
"589374","2871"
"589065","2309"
"589239","2310"
"589240","2316"
"589066","96"
"589375","352"
"589376","247"
"589377","255"
"589241","2315"
"589601","122774"
"589378","2318"
"589120","322"
"589330","437"
"589379","262"
"589492","6353"
"589121","2320"
"589242","2323"
"589380","268"
"589381","388"
"589122","2329"
"589302","2331"
"589515","2333"
"589018","2335"
"589303","2336"
"589243","2876"
"589244","2339"
"589493","203"
"589246","2940"
"589247","209"
"589382","263"
"588987","309"
"589068","2348"
"589069","97"
"589067","99"
"589383","67"
"589384","2354"
"589385","2359"
"589123","311"
"589494","2362"
"589386","317"
"589124","2368"
"589304","2369"
"589070","276"
"589509","446"
"589495","2371"
