"id","espn_id","ncaa_id","type","slug","abv","full_name","short_name","university","division","conference","primary","secondary","logo","head_coach","school_url","website","twitter","venue"
"ACU20461","315","596477","NCAAF","abilene-christian","ACU","Abilene Christian","Wildcats","Abilene Christian University","d1","Western Athletic","#4F2683","#C4C6C8","https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/abilene-christian.svg","Rick McCarty","https://www.ncaa.com/schools/abilene-christian","https://acusports.com","@acusports","Crutcher Scott Field"
"AFA27988","155","596430","NCAAF","air-force","AFA","Air Force","Falcons","Air Force Academy","d1","Mountain West","#004A7B","#2B3C98","https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/air-force.svg","Mike Kazlausky","https://www.ncaa.com/schools/air-force","https://goairforcefalcons.com","@AF_Falcons","Erdle Field"
"AKR33857","316","596419","NCAAF","akron","AKR","Akron","Zips","University of Akron","d1","Mid-American","#0A1E5B","#BEB07D","https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/akron.svg","Bryan Faulds","https://www.ncaa.com/schools/akron","https://gozips.com","@AkronZips","Skeeles Field"
"ALA38573","148","596479","NCAAF","alabama","ALA","Alabama","Crimson Tide","Alabama State University","d1","Southwestern Athletic Conf.","#A42D47","#E3B310","https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/alabama-st.svg","Jose Vazquez","https://www.ncaa.com/schools/alabama-st","https://bamastatesports.com","@ASUBUZZ","Wheeler-Watkins Baseball Complex"
"AAM65422","317","596480","NCAAF","alabama-am","AAMU","Alabama A&M","Bulldogs","University of Alabama","d1","Southeastern","#790000","#C1C4C6","https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/alabama.svg","Rob Vaughn","https://www.ncaa.com/schools/alabama","https://rolltide.com","@UA_Athletics","Sewell-Thomas Stadium"
"ALS46675","318","596478","NCAAF","alabama-state","ALST","Alabama State","Hornets","Alabama A&M University","d1","Southwestern Athletic Conf.","#603913","#5F1216","https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/alabama-am.svg","Louis Whitlow","https://www.ncaa.com/schools/alabama-am","https://aamusports.com","@aamubulldogs","Bulldog Baseball Field"
"ALC50357","260","596483","NCAAF","alcorn-state","ALCN","Alcorn State","Braves","Alcorn State University","d1","Southwestern Athletic Conf.","#C1B881","#2C0047","https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/alcorn.svg","Carlton Hardy","https://www.ncaa.com/schools/alcorn","https://alcornsports.com","@BRAVESSPORTS","Willie E. ""Rat"" McGowan Stadium"
"APP19690","271","596484","NCAAF","app-state","APP","App State","Mountaineers","Appalachian State University","d1","Sun Belt","#FBCF17","#100F0D","https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/appalachian-st.svg","Kermit Smith","https://www.ncaa.com/schools/appalachian-st","https://appstatesports.com","@AppState_Sports","Beaver Field at Jim and Bettie Smith Stadium"
"ARI35861","60","596706","NCAAF","arizona","ARIZ","Arizona","Wildcats","University of Arizona","d1","Big 12","#102142","#C21B32","https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/arizona.svg","Chip Hale","https://www.ncaa.com/schools/arizona","https://arizonawildcats.com","@AZATHLETICS","Hi Corbett Field"
"ASU20428","59","596485","NCAAF","arizona-state","ASU","Arizona State","Sun Devils","Arizona State University","d1","Big 12","#942139","#8A0C3C","https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/arizona-st.svg","Willie Bloomquist","https://www.ncaa.com/schools/arizona-st","https://thesundevils.fansonly.com","@TheSunDevils","Phoenix Municipal Stadium"
