"id","espn_id","type","abv","full_name","short_name","league","division","primary","secondary","logo","manager","general_manager","twitter","website","venue"
"ARI34516","29","MLB","ARI","Arizona Diamondbacks","Diamondbacks","National League","West Division","#AA182C","#000000","https://a.espncdn.com/i/teamlogos/mlb/500/ari.png","Torey Lovullo","Mike Hazen","@dbacks","https://www.dbacks.com","Chase Field"
"ATH49769","11","MLB","ATH","Athletics","Athletics","American League","West Division","#003831","#EFB21E","https://a.espncdn.com/i/teamlogos/mlb/500/ath.png","Mark Kotsay","David Forst","@Athletics","https://www.athletics.com","Sutter Health"
"ATL22056","15","MLB","ATL","Atlanta Braves","Braves","National League","East Division","#0C2340","#BA0C2F","https://a.espncdn.com/i/teamlogos/mlb/500/atl.png","Brian Snitker","Alex Anthopoulos","@Braves","https://www.braves.com","Truist Park"
"BAL07161","1","MLB","BAL","Baltimore Orioles","Orioles","American League","East Division","#DF4601","#000000","https://a.espncdn.com/i/teamlogos/mlb/500/bal.png","Brandon Hyde","Mike Elias","@Orioles","https://www.orioles.com","Oriole Park"
"BOS51017","2","MLB","BOS","Boston Red Sox","Red Sox","American League","East Division","#0D2B56","#BD3039","https://a.espncdn.com/i/teamlogos/mlb/500/bos.png","Alex Cora",NA,"@RedSox","https://www.redsox.com","Fenway Park"
"CHC30134","16","MLB","CHC","Chicago Cubs","Cubs","National League","Central Division","#0E3386","#CC3433","https://a.espncdn.com/i/teamlogos/mlb/500/chc.png","Craig Counsell","Carter Hawkins","@Cubs","https://www.cubs.com","Wrigley Field"
"CHW55856","4","MLB","CHW","Chicago White Sox","White Sox","American League","Central Division","#000000","#C4CED4","https://a.espncdn.com/i/teamlogos/mlb/500/chw.png","Will Venable","Chris Getz","@WhiteSox","https://www.whitesox.com","Rate Field"
"CIN41881","17","MLB","CIN","Cincinnati Reds","Reds","National League","Central Division","#C6011F","#FFFFFF","https://a.espncdn.com/i/teamlogos/mlb/500/cin.png","Terry Francona","Brad Meador","@Reds","https://www.reds.com","Great American"
"CLE19227","5","MLB","CLE","Cleveland Guardians","Guardians","American League","Central Division","#002B5C","#E31937","https://a.espncdn.com/i/teamlogos/mlb/500/cle.png","Stephen Vogt","Mike Chernoff","@CleGuardians","https://www.cleguardians.com","Progressive Field"
"COL56651","27","MLB","COL","Colorado Rockies","Rockies","National League","West Division","#33006F","#000000","https://a.espncdn.com/i/teamlogos/mlb/500/col.png","Bud Black","Bill Schmidt","@Rockies","https://www.rockies.com","Coors Field"
"DET07434","6","MLB","DET","Detroit Tigers","Tigers","American League","AL Central Division","#0A2240","#FF4713","https://a.espncdn.com/i/teamlogos/mlb/500/det.png","A. J. Hinch","Jeff Greenberg","@tigers","https://www.tigers.com","Comerica Park"
"HOU33066","18","MLB","HOU","Houston Astros","Astros","American League","West Division","#002D62","#EB6E1F","https://a.espncdn.com/i/teamlogos/mlb/500/hou.png","Joe Espada","Dana Brown","@astros","https://www.astros.com","Daikin Park"
