"id","espn_id","type","abv","full_name","short_name","division","conference","primary","secondary","logo","head_coach","general_manager","twitter","webiste","venue"
"ATL07161","1","NBA","ATL","Atlanta Hawks","Hawks","Southeast","Eastern","#C8102E","#FDB927","https://a.espncdn.com/i/teamlogos/nba/500/atl.png","Quin Snyder","Landry Fields","@ATLHawks","https://www.nba.com/hawks/","State Farm Arena"
"BOS51017","2","NBA","BOS","Boston Celtics","Celtics","Atlantic","Eastern","#008348","#FFFFFF","https://a.espncdn.com/i/teamlogos/nba/500/bos.png","Joe Mazzulla","Brad Stevens","@celtics","https://www.nba.com/celtics/","TD Garden"
"BKN41881","17","NBA","BKN","Brooklyn Nets","Nets","Atlantic","Eastern","#000000","#FFFFFF","https://a.espncdn.com/i/teamlogos/nba/500/bkn.png","Jordi Fernández","Sean Marks","@BrooklynNets","https://www.nba.com/nets/","Barclays Center"
"CHA13512","30","NBA","CHA","Charlotte Hornets","Hornets","Southeast","Eastern","#008CA8","#1D1060","https://a.espncdn.com/i/teamlogos/nba/500/cha.png","Charles Lee","Jeff Peterson","@hornets","https://www.nba.com/hornets/","Spectrum Center"
"CHI55856","4","NBA","CHI","Chicago Bulls","Bulls","Central","Eastern","#CE1141","#000000","https://a.espncdn.com/i/teamlogos/nba/500/chi.png","Billy Donovan","Marc Eversley","@chicagobulls","https://www.nba.com/bulls/","United Center"
"CLE19227","5","NBA","CLE","Cleveland Cavaliers","Cavaliers","Central","Eastern","#860038","#BC945C","https://a.espncdn.com/i/teamlogos/nba/500/cle.png","Kenny Atkinson","Mike Gansey","@cavs","https://www.nba.com/cavaliers/","Rocket Arena"
"DAL07434","6","NBA","DAL","Dallas Mavericks","Mavericks","Southwest","Western","#0064B1","#BBC4CA","https://a.espncdn.com/i/teamlogos/nba/500/dal.png","Jason Kidd","Nico Harrison","@dallasmavs","https://www.nba.com/mavericks/","American Airlines Center"
"DEN42475","7","NBA","DEN","Denver Nuggets","Nuggets","Northwest","Western","#0E2240","#FEC524","https://a.espncdn.com/i/teamlogos/nba/500/den.png","David Adelman","Calvin Booth","@nuggets","https://www.nba.com/nuggets/","Ball Arena"
"DET18581","8","NBA","DET","Detroit Pistons","Pistons","Central","Eastern","#1D428A","#C8102E","https://a.espncdn.com/i/teamlogos/nba/500/det.png","J. B. Bickerstaff","Dennis Lindsey","@DetroitPistons","https://www.nba.com/pistons/","Little Caesars Arena"
"GSX38522","9","NBA","GS","Golden State Warriors","Warriors","Pacific","Western","#FDB927","#1D428A","https://a.espncdn.com/i/teamlogos/nba/500/gs.png","Steve Kerr","Mike Dunleavy Jr.","@warriors","https://www.nba.com/warriors/","Chase Center"
"HOU34711","10","NBA","HOU","Houston Rockets","Rockets","Southwest","Western","#CE1141","#000000","https://a.espncdn.com/i/teamlogos/nba/500/hou.png","Ime Udoka","Rafael Stone","@HoustonRockets","https://www.nba.com/rockets/","Toyota Center"
"IND49769","11","NBA","IND","Indiana Pacers","Pacers","Central","Eastern","#002D62","#FDBB30","https://a.espncdn.com/i/teamlogos/nba/500/ind.png","Rick Carlisle","Chad Buchanan","@Pacers","https://www.nba.com/pacers/","Gainbridge Fieldhouse"
"LAC13092","12","NBA","LAC","Los Angeles Clippers","Clippers","Pacific","Western","#12173F","#C8102E","https://a.espncdn.com/i/teamlogos/nba/500/lac.png","Tyronn Lue","Trent Redden","@NULL","https://www.nba.com/clippers/","Intuit Dome"
"LAL41122","13","NBA","LAL","Los Angeles Lakers","Lakers","Pacific","Western","#552583","#FDB927","https://a.espncdn.com/i/teamlogos/nba/500/lal.png","JJ Redick","Rob Pelinka","@Lakers","https://www.nba.com/lakers/","Crypto.com Arena"
"MEM34516","29","NBA","MEM","Memphis Grizzlies","Grizzlies","Southwest","Western","#5D76A9","#12173F","https://a.espncdn.com/i/teamlogos/nba/500/mem.png","Tuomas Iisalo","Zach Kleiman","@memgrizz","https://www.nba.com/grizzlies/","FedExForum"
"MIA40018","14","NBA","MIA","Miami Heat","Heat","Southeast","Eastern","#98002E","#000000","https://a.espncdn.com/i/teamlogos/nba/500/mia.png","Erik Spoelstra","Andy Elisburg","@MiamiHEAT","https://www.nba.com/heat/","Kaseya Center"
"MIL22056","15","NBA","MIL","Milwaukee Bucks","Bucks","Central","Eastern","#00471B","#EEE1C6","https://a.espncdn.com/i/teamlogos/nba/500/mil.png","Doc Rivers","Jon Horst","@Bucks","https://www.nba.com/bucks/","Fiserv Forum"
"MIN30134","16","NBA","MIN","Minnesota Timberwolves","Timberwolves","Northwest","Western","#266092","#79BC43","https://a.espncdn.com/i/teamlogos/nba/500/min.png","Chris Finch","Matt Lloyd","@Timberwolves","https://www.nba.com/timberwolves/","Target Center"
"NOX25550","3","NBA","NO","New Orleans Pelicans","Pelicans","Southwest","Western","#0A2240","#B4975A","https://a.espncdn.com/i/teamlogos/nba/500/no.png","Willie Green","Bryson Graham","@PelicansNBA","https://www.nba.com/pelicans/","Smoothie King Center"
"NYX33066","18","NBA","NY","New York Knicks","Knicks","Atlantic","Eastern","#1D428A","#F58426","https://a.espncdn.com/i/teamlogos/nba/500/ny.png","Tom Thibodeau","Gersson Rosas","@nyknicks","https://www.nba.com/knicks/","Madison Square Garden"
"OKC53123","25","NBA","OKC","Oklahoma City Thunder","Thunder","Northwest","Western","#007AC1","#EF3B24","https://a.espncdn.com/i/teamlogos/nba/500/okc.png","Mark Daigneault","Sam Presti","@okcthunder","https://www.nba.com/thunder/","Paycom Center"
"ORL40325","19","NBA","ORL","Orlando Magic","Magic","Southeast","Eastern","#0077C0","#C4CED4","https://a.espncdn.com/i/teamlogos/nba/500/orl.png","Jamahl Mosley","Anthony Parker","@OrlandoMagic","https://www.nba.com/magic/","Kia Center"
"PHI28332","20","NBA","PHI","Philadelphia 76ers","76ers","Atlantic","Eastern","#1D428A","#E01234","https://a.espncdn.com/i/teamlogos/nba/500/phi.png","Nick Nurse","Elton Brand","@sixers","https://www.nba.com/76ers/","Wells Fargo Center"
"PHX36490","21","NBA","PHX","Phoenix Suns","Suns","Pacific","Western","#29127A","#E56020","https://a.espncdn.com/i/teamlogos/nba/500/phx.png","Vacant","James Jones","@Suns","https://www.nba.com/suns/","PHX Arena"
"POR06200","22","NBA","POR","Portland Trail Blazers","Trail Blazers","Northwest","Western","#E03A3E","#000000","https://a.espncdn.com/i/teamlogos/nba/500/por.png","Chauncey Billups","Joe Cronin","@trailblazers","https://www.nba.com/blazers/","Moda Center"
"SAC00139","23","NBA","SAC","Sacramento Kings","Kings","Pacific","Western","#5A2D81","#6A7A82","https://a.espncdn.com/i/teamlogos/nba/500/sac.png","Doug Christie","Vacant","@SacramentoKings","https://www.nba.com/kings/","Golden 1 Center"
"SAX58445","24","NBA","SA","San Antonio Spurs","Spurs","Southwest","Western","#000000","#C4CED4","https://a.espncdn.com/i/teamlogos/nba/500/sa.png","Gregg Popovich","Brian Wright","@spurs","https://www.nba.com/spurs/","Frost Bank Center"
"TOR23363","28","NBA","TOR","Toronto Raptors","Raptors","Atlantic","Eastern","#D91244","#000000","https://a.espncdn.com/i/teamlogos/nba/500/tor.png","Darko Rajaković","Bobby Webster","@Raptors","https://www.nba.com/raptors/","Scotiabank Arena"
"UTA34865","26","NBA","UTAH","Utah Jazz","Jazz","Northwest","Western","#000000","#FFF21F","https://a.espncdn.com/i/teamlogos/nba/500/utah.png","Will Hardy","Justin Zanik","@utahjazz","https://www.nba.com/jazz/","Delta Center"
"WSH56651","27","NBA","WSH","Washington Wizards","Wizards","Southeast","Eastern","#E31837","#002B5C","https://a.espncdn.com/i/teamlogos/nba/500/wsh.png","Brian Keefe","Will Dawkins","@WashWizards","https://www.nba.com/wizards/","Capital One Arena"
