"espn_id","uid","slug","abbreviation","displayName","shortDisplayName","name","nickname","location","color","alternateColor","isActive","isAllStar","logo"
"821","s:1~l:14~t:821","alma","ALMA","Alma","ALMA","Scots","ALMA","Alma",NA,NA,TRUE,FALSE,"https://a.espncdn.com/i/teamlogos/ncaa/500/2800.png"
"319","s:1~l:14~t:319","american-university","AMER","American University","American","Eagles","American","American University","c41130",NA,TRUE,FALSE,"https://a.espncdn.com/i/teamlogos/ncaa/500/44.png"
"822","s:1~l:14~t:822","anderson-in","ANDC","Anderson (IN)","Anderson IND","Ravens","Anderson IND","Anderson (IN)",NA,NA,TRUE,FALSE,"https://a.espncdn.com/i/teamlogos/ncaa/500/2023.png"
"129701","s:1~l:14~t:129701","augustana-college-il","AUG","Augustana College (Il)","Augustana Coll","Vikings","Augustana Coll","Augustana College (Il)",NA,NA,TRUE,FALSE,"https://a.espncdn.com/i/teamlogos/ncaa/500/2042.png"
"129702","s:1~l:14~t:129702","aurora","AUR","Aurora","Aurora","Spartans","Aurora","Aurora",NA,NA,TRUE,FALSE,"https://a.espncdn.com/i/teamlogos/ncaa/500/2044.png"
"824","s:1~l:14~t:824",NA,"BAKE","Baker University","Baker University",NA,"Baker University","Baker University",NA,NA,TRUE,FALSE,NA
"825","s:1~l:14~t:825","barry","BARR","Barry","BARRY","Buccaneers","BARRY","Barry",NA,NA,TRUE,FALSE,NA
"833","s:1~l:14~t:833","bears","LENR","Bears","LENRHYNE","Bears","LENRHYNE",NA,NA,NA,TRUE,FALSE,"https://a.espncdn.com/i/teamlogos/ncaa/500/2331.png"
"826","s:1~l:14~t:826","bethany-ks","BETH","Bethany (KS)","BETHANYKS","Bethany (Ks)","BETHANYKS","Bethany (KS)",NA,NA,TRUE,FALSE,NA
"56","s:1~l:14~t:56","birmingham-southern","BSC","Birmingham Southern","Birmingham-So.","Panthers","Birmingham-So.","Birmingham Southern","000000",NA,TRUE,FALSE,"https://a.espncdn.com/i/teamlogos/ncaa/500/3.png"
"322","s:1~l:14~t:322","boise-state","BSU","Boise State","Boise St","Broncos","Boise St","Boise State","29299c",NA,TRUE,FALSE,"https://a.espncdn.com/i/teamlogos/ncaa/500/68.png"
"1139","s:1~l:14~t:1139","boise-state","BOIS","Boise State","Boise St","Broncos","Boise St","Boise State",NA,NA,TRUE,FALSE,"https://a.espncdn.com/i/teamlogos/ncaa/500/68.png"
"323","s:1~l:14~t:323","boston-university","BU","Boston University","Boston U","Terriers","Boston U","Boston University","cc0000",NA,TRUE,FALSE,"https://a.espncdn.com/i/teamlogos/ncaa/500/104.png"
"827","s:1~l:14~t:827","broncos","CPPM","Broncos","CALPOLYPOM","Broncos","CALPOLYPOM",NA,NA,NA,TRUE,FALSE,NA
"325","s:1~l:14~t:325","buffalo","BUFF","Buffalo","Buffalo","Bulls","Buffalo","Buffalo","004a84",NA,TRUE,FALSE,"https://a.espncdn.com/i/teamlogos/ncaa/500/2084.png"
"1280","s:1~l:14~t:1280","clcc","COP","CLCC","CLCC","Clcc","CLCC","CLCC",NA,NA,TRUE,FALSE,NA
"1281","s:1~l:14~t:1281","cosn","SOU","COSN","COSN","Coyotes","COSN","COSN",NA,NA,TRUE,FALSE,NA
"828","s:1~l:14~t:828","centenary","CENT","Centenary","CENTENARY","Gentlemen","CENTENARY","Centenary",NA,NA,TRUE,FALSE,"https://a.espncdn.com/i/teamlogos/ncaa/500/2113.png"
"328","s:1~l:14~t:328","central-michigan","CMU","Central Michigan","C Michigan","Chippewas","C Michigan","Central Michigan","7b0000",NA,TRUE,FALSE,"https://a.espncdn.com/i/teamlogos/ncaa/500/2117.png"
"836","s:1~l:14~t:836","chaparrals","LUBC","Chaparrals","LUBBCHRIST","Chaparrals","LUBBCHRIST",NA,NA,NA,TRUE,FALSE,NA
