"espn_id","uid","slug","abbreviation","displayName","shortDisplayName","name","nickname","location","color","alternateColor","isActive","isAllStar","logo","Clubhouse","Roster","Statistics","Schedule","Tickets"
"2001","s:20~l:23~t:2001","adams-state-grizzlies","ADST","Adams State Grizzlies","Adams St","Grizzlies","Adams St","Adams State","000000",NA,TRUE,FALSE,"https://a.espncdn.com/i/teamlogos/ncaa/500/2001.png",NA,"https://www.espn.com/college-football/team/roster/_/id/2001","https://www.espn.com/college-football/team/stats/_/id/2001","https://www.espn.com/college-football/team/schedule/_/id/2001",NA
"2003","s:20~l:23~t:2003","adrian-bulldogs","ADR","Adrian Bulldogs","Adrian","Bulldogs","Adrian","Adrian","000000",NA,TRUE,FALSE,"https://a.espncdn.com/i/teamlogos/ncaa/500/2003.png",NA,"https://www.espn.com/college-football/team/roster/_/id/2003","https://www.espn.com/college-football/team/stats/_/id/2003","https://www.espn.com/college-football/team/schedule/_/id/2003",NA
"2562","s:20~l:23~t:2562","adrian-saints","SH","Adrian Saints","Sieheights","Saints","Sieheights","Adrian","000000",NA,TRUE,FALSE,NA,"https://www.espn.com/college-football/team/_/id/2562/adrian-saints","https://www.espn.com/college-football/team/roster/_/id/2562","https://www.espn.com/college-football/team/stats/_/id/2562","https://www.espn.com/college-football/team/schedule/_/id/2562",NA
"2013","s:20~l:23~t:2013","albany-state-ga-golden-rams","ALBS","Albany State GA Golden Rams","Albany St","Golden Rams","Albany St","Albany State GA","000000",NA,TRUE,FALSE,"https://a.espncdn.com/i/teamlogos/ncaa/500/2013.png","https://www.espn.com/college-football/team/_/id/2013/albany-state-ga-golden-rams","https://www.espn.com/college-football/team/roster/_/id/2013","https://www.espn.com/college-football/team/stats/_/id/2013","https://www.espn.com/college-football/team/schedule/_/id/2013",NA
"2790","s:20~l:23~t:2790","albion-britons","ALBI","Albion Britons","Albion","Britons","Albion","Albion","000000",NA,TRUE,FALSE,"https://a.espncdn.com/i/teamlogos/ncaa/500/2790.png",NA,"https://www.espn.com/college-football/team/roster/_/id/2790","https://www.espn.com/college-football/team/stats/_/id/2790","https://www.espn.com/college-football/team/schedule/_/id/2790",NA
"2015","s:20~l:23~t:2015","albright-lions","ALB","Albright Lions","Albright","Lions","Albright","Albright","c82e48","000000",TRUE,FALSE,"https://a.espncdn.com/i/teamlogos/ncaa/500/2015.png",NA,"https://www.espn.com/college-football/team/roster/_/id/2015","https://www.espn.com/college-football/team/stats/_/id/2015","https://www.espn.com/college-football/team/schedule/_/id/2015",NA
"3162","s:20~l:23~t:3162","alfred-state-pioneers","ASC","Alfred State Pioneers","Alfred St","Pioneers","Alfred St","Alfred State","000000",NA,TRUE,FALSE,"https://a.espncdn.com/i/teamlogos/ncaa/500/3162.png",NA,"https://www.espn.com/college-football/team/roster/_/id/3162","https://www.espn.com/college-football/team/stats/_/id/3162","https://www.espn.com/college-football/team/schedule/_/id/3162",NA
"365","s:20~l:23~t:365","alfred-university-saxons","ALF","Alfred University Saxons","Alfred","Saxons","Alfred","Alfred University","000000",NA,TRUE,FALSE,"https://a.espncdn.com/i/teamlogos/ncaa/500/365.png",NA,"https://www.espn.com/college-football/team/roster/_/id/365","https://www.espn.com/college-football/team/stats/_/id/365","https://www.espn.com/college-football/team/schedule/_/id/365",NA
"2018","s:20~l:23~t:2018","allegheny-gators","ALL","Allegheny Gators","Allegheny","Gators","Allegheny","Allegheny","000000",NA,TRUE,FALSE,"https://a.espncdn.com/i/teamlogos/ncaa/500/2018.png",NA,"https://www.espn.com/college-football/team/roster/_/id/2018","https://www.espn.com/college-football/team/stats/_/id/2018","https://www.espn.com/college-football/team/schedule/_/id/2018",NA
"2019","s:20~l:23~t:2019","allen-yellow-jackets","ALL","Allen Yellow Jackets","Allen","Yellow Jackets","Allen","Allen",NA,NA,TRUE,FALSE,"https://a.espncdn.com/i/teamlogos/ncaa/500/2019.png","https://www.espn.com/college-football/team/_/id/2019/allen-yellow-jackets","https://www.espn.com/college-football/team/roster/_/id/2019","https://www.espn.com/college-football/team/stats/_/id/2019","https://www.espn.com/college-football/team/schedule/_/id/2019",NA
