"espn_id","uid","slug","abbreviation","displayName","shortDisplayName","name","nickname","location","color","alternateColor","isActive","isAllStar","logo","Clubhouse","Roster","Statistics","Schedule","Tickets"
"2856","s:40~l:54~t:2856","california-baptist-lancers","CBU","California Baptist Lancers","CA Baptist","Lancers","CA Baptist","California Baptist","000000",NA,TRUE,FALSE,"https://a.espncdn.com/i/teamlogos/ncaa/500/2856.png","https://www.espn.com/womens-college-basketball/team/_/id/2856/california-baptist-lancers","https://www.espn.com/womens-college-basketball/team/roster/_/id/2856","https://www.espn.com/womens-college-basketball/team/stats/_/id/2856","https://www.espn.com/womens-college-basketball/team/schedule/_/id/2856","https://www.vividseats.com/cbu-lancers-womens-basketball-tickets--sports-ncaa-basketball/performer/96381?wsUser=717"
"2837","s:40~l:54~t:2837","east-texas-am-lions","ETAM","East Texas A&M Lions","E Texas A&M","Lions","E Texas A&M","East Texas A&M","000000",NA,TRUE,FALSE,"https://a.espncdn.com/i/teamlogos/ncaa/500/2837.png","https://www.espn.com/womens-college-basketball/team/_/id/2837/east-texas-am-lions","https://www.espn.com/womens-college-basketball/team/roster/_/id/2837","https://www.espn.com/womens-college-basketball/team/stats/_/id/2837","https://www.espn.com/womens-college-basketball/team/schedule/_/id/2837","https://www.vividseats.com/texas-a-m-universitycommerce-lions-womens-basketball-tickets--sports-basketball/performer/53389?wsUser=717"
"2277","s:40~l:54~t:2277","houston-christian-huskies","HCU","Houston Christian Huskies","Hou Christian","Huskies","Hou Christian","Houston Christian","00539c",NA,TRUE,FALSE,"https://a.espncdn.com/i/teamlogos/ncaa/500/2277.png","https://www.espn.com/womens-college-basketball/team/_/id/2277/houston-christian-huskies","https://www.espn.com/womens-college-basketball/team/roster/_/id/2277","https://www.espn.com/womens-college-basketball/team/stats/_/id/2277","https://www.espn.com/womens-college-basketball/team/schedule/_/id/2277","https://www.vividseats.com/houston-baptist-huskies-womens-basketball-tickets--sports-ncaa-basketball/performer/52562?wsUser=717"
"2916","s:40~l:54~t:2916","incarnate-word-cardinals","UIW","Incarnate Word Cardinals","Incarnate Word","Cardinals","Incarnate Word","Incarnate Word","000000","080808",TRUE,FALSE,"https://a.espncdn.com/i/teamlogos/ncaa/500/2916.png","https://www.espn.com/womens-college-basketball/team/_/id/2916/incarnate-word-cardinals","https://www.espn.com/womens-college-basketball/team/roster/_/id/2916","https://www.espn.com/womens-college-basketball/team/stats/_/id/2916","https://www.espn.com/womens-college-basketball/team/schedule/_/id/2916","https://www.vividseats.com/incarnate-word-cardinals-womens-basketball-tickets--sports-ncaa-basketball/performer/55636?wsUser=717"
"294","s:40~l:54~t:294","jacksonville-dolphins","JAX","Jacksonville Dolphins","Jacksonville","Dolphins","Jacksonville","Jacksonville","00523e",NA,TRUE,FALSE,"https://a.espncdn.com/i/teamlogos/ncaa/500/294.png","https://www.espn.com/womens-college-basketball/team/_/id/294/jacksonville-dolphins","https://www.espn.com/womens-college-basketball/team/roster/_/id/294","https://www.espn.com/womens-college-basketball/team/stats/_/id/294","https://www.espn.com/womens-college-basketball/team/schedule/_/id/294","https://www.vividseats.com/jacksonville-dolphins-womens-basketball-tickets--sports-ncaa-basketball/performer/51955?wsUser=717"
"2330","s:40~l:54~t:2330","le-moyne-dolphins","LEM","Le Moyne Dolphins","Le Moyne","Dolphins","Le Moyne","Le Moyne","000000",NA,TRUE,FALSE,"https://a.espncdn.com/i/teamlogos/ncaa/500/2330.png","https://www.espn.com/womens-college-basketball/team/_/id/2330/le-moyne-dolphins","https://www.espn.com/womens-college-basketball/team/roster/_/id/2330","https://www.espn.com/womens-college-basketball/team/stats/_/id/2330","https://www.espn.com/womens-college-basketball/team/schedule/_/id/2330",NA
"2815","s:40~l:54~t:2815","lindenwood-lions","LIN","Lindenwood Lions","Lindenwood","Lions","Lindenwood","Lindenwood","000000",NA,TRUE,FALSE,"https://a.espncdn.com/i/teamlogos/ncaa/500/2815.png","https://www.espn.com/womens-college-basketball/team/_/id/2815/lindenwood-lions","https://www.espn.com/womens-college-basketball/team/roster/_/id/2815","https://www.espn.com/womens-college-basketball/team/stats/_/id/2815","https://www.espn.com/womens-college-basketball/team/schedule/_/id/2815","https://www.vividseats.com/lindenwood-lions-womens-basketball-tickets--sports-ncaa-basketball/performer/149769?wsUser=717"
"311","s:40~l:54~t:311","maine-black-bears","ME","Maine Black Bears","Maine","Black Bears","Maine","Maine","127dbe",NA,TRUE,FALSE,"https://a.espncdn.com/i/teamlogos/ncaa/500/311.png","https://www.espn.com/womens-college-basketball/team/_/id/311/maine-black-bears","https://www.espn.com/womens-college-basketball/team/roster/_/id/311","https://www.espn.com/womens-college-basketball/team/stats/_/id/311","https://www.espn.com/womens-college-basketball/team/schedule/_/id/311","https://www.vividseats.com/maine-black-bears-womens-basketball-tickets--sports-ncaa-basketball/performer/39637?wsUser=717"
"113","s:40~l:54~t:113","massachusetts-minutewomen","MASS","Massachusetts Minutewomen","UMass","Minutewomen","UMass","Massachusetts","880007",NA,TRUE,FALSE,"https://a.espncdn.com/i/teamlogos/ncaa/500/113.png","https://www.espn.com/womens-college-basketball/team/_/id/113/massachusetts-minutewomen","https://www.espn.com/womens-college-basketball/team/roster/_/id/113","https://www.espn.com/womens-college-basketball/team/stats/_/id/113","https://www.espn.com/womens-college-basketball/team/schedule/_/id/113","https://www.vividseats.com/umass-minutewomen-basketball-tickets--sports-ncaa-basketball/performer/53583?wsUser=717"
"2453","s:40~l:54~t:2453","north-alabama-lions","UNA","North Alabama Lions","North Alabama","Lions","North Alabama","North Alabama","000000",NA,TRUE,FALSE,"https://a.espncdn.com/i/teamlogos/ncaa/500/2453.png","https://www.espn.com/womens-college-basketball/team/_/id/2453/north-alabama-lions","https://www.espn.com/womens-college-basketball/team/roster/_/id/2453","https://www.espn.com/womens-college-basketball/team/stats/_/id/2453","https://www.espn.com/womens-college-basketball/team/schedule/_/id/2453","https://www.vividseats.com/north-alabama-lions-womens-basketball-tickets--sports-basketball/performer/94208?wsUser=717"
