"school_name","division","img_src","school_url","ncaa_id","conference","nickname_ncaa","colors","name_ncaa","website","twitter"
"Alvernia","d3","https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/alvernia.svg","https://www.ncaa.com/schools/alvernia","589527","Middle Atlantic  Commonwealth","Golden Wolves","Maroon & Gold","Alvernia University","athletics.alvernia.edu","@verncrusaders"
"Cal Lutheran","d3","https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/cal-lutheran.svg","https://www.ncaa.com/schools/cal-lutheran","589553","Southern California Intercollegiate Athletic Conf.","Kingsmen","Violet & Gold","California Lutheran University","clusports.com","@CLUSports"
"Centenary (LA)","d3","https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/centenary-la.svg","https://www.ncaa.com/schools/centenary-la","593572","Southern Collegiate Athletic","Gents","Maroon & White","Centenary College of Louisiana","gocentenary.com","@GoCentenary"
"Chowan","d2","https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/chowan.svg","https://www.ncaa.com/schools/chowan","589338","Carolinas","Hawks","Blue & White","Chowan University","gocuhawks.com","@cuhawks"
"Davenport","d2","https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/davenport.svg","https://www.ncaa.com/schools/davenport","589216","GLIAC","Panthers","Red, Black and White","Davenport University ","https://dupanthers.com/","@DUAthletics"
"Dean","d3","https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/dean-college.svg","https://www.ncaa.com/schools/dean-college","589525","Great Northeast Athletic","","","Dean College ","deanbulldogs.com","@DeanAthletics"
"Erskine","d2","https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/erskine.svg","https://www.ncaa.com/schools/erskine","589350","Carolinas","The Flying Fleet","Garnet & Gold","Erskine College","erskinesports.com","@FollowtheFleet"
"Lyon","d3","https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/lyon.svg","https://www.ncaa.com/schools/lyon","589421","St. Louis Intercollegiate Athletic","","","Lyon College","www.lyon.edu/athletics","@lyoncollege"
"McNeese","fcs","https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/mcneese.svg","https://www.ncaa.com/schools/mcneese","589125",NA,NA,NA,NA,NA,NA
"North Greenville","d2","https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/north-greenville.svg","https://www.ncaa.com/schools/north-greenville","589344","Carolinas","Crusaders","Red, Black","North Greenville University","ngcrusaders.com","@Crusader_Sports"
"Rochester (NY)","d3","https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/rochester-ny.svg","https://www.ncaa.com/schools/rochester-ny","589420","University Athletic Association","Yellowjackets","Yellow & Blue","University of Rochester","uofrathletics.com","@UofRathletics"
"Shorter","d2","https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/shorter.svg","https://www.ncaa.com/schools/shorter","589211","Carolinas","Hawks","Royal & White","Shorter University","goshorterhawks.com","@ShorterHawks"
"SUNY Morrisville","d3","https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/morrisville-st.svg","https://www.ncaa.com/schools/morrisville-st","589521",NA,NA,NA,NA,NA,NA
"U New England","d3","https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/u-new-england.svg","https://www.ncaa.com/schools/u-new-england","589526","of New England","Nor'easters","Royal Blue & White","University of New England","athletics.une.edu","@UNESports"
"UIW","fcs","https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/uiw.svg","https://www.ncaa.com/schools/uiw","589193",NA,NA,NA,NA,NA,NA
"UNC Pembroke","d2","https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/unc-pembroke.svg","https://www.ncaa.com/schools/unc-pembroke","589263","Carolinas","Braves","Black & Gold","UNC Pembroke","uncpbraves.com","@UNCP_Sports"
