"full_name","id","espn_id","abv","short_name","owner","primary","secondary","logo","nickname","venue","type","head_coach","offensive_coordinator","defensive_coordinator"
"Adrian Saints","SHX60405","2562","SH","Sieheights","Adrian","000000",NA,NA,"Saints",NA,"NCAAF",NA,NA,NA
"Apprentice School Builders","APP36500","3111","APPRE","Apprentice","Apprentice School","000000",NA,NA,"Builders","Apprentice Field","NCAAF",NA,NA,NA
"Ave Maria University Gyrenes","AVE06827","3178","AVE M","Ave Maria","Ave Maria University","000000",NA,NA,"Gyrenes",NA,"NCAAF",NA,NA,NA
"Avila University Eagles","AVI10619","2048","AVILA","Avila","Avila University","000000",NA,NA,"Eagles",NA,"NCAAF",NA,NA,NA
"Baker University Baker","BAK19154","488","BAK","Baker","Baker University","000000",NA,NA,"Baker",NA,"NCAAF",NA,NA,NA
"Benedictine College Ravens","BEN20820","16111","BENC","Bndctn Col","Benedictine College",NA,NA,NA,"Ravens",NA,"NCAAF",NA,NA,NA
"Bethany (Kansas) Bethany (Kansas)","BET35116","492","BETHA","Bethany KS","Bethany (Kansas)","000000",NA,NA,"Bethany (Ks)",NA,"NCAAF",NA,NA,NA
"Bethel University Tennessee Wildcats","BET24998","2064","BETHTN","Bethel TN","Bethel University Tennessee","000000",NA,"https://a.espncdn.com/i/teamlogos/ncaa/500/2064.png","Wildcats",NA,"NCAAF",NA,NA,NA
"Biddeford Nor'easters","NWE12396","111675","NWENG","NEWENGLAND","Biddeford",NA,NA,"https://a.espncdn.com/i/teamlogos/ncaa/500/111675.png","Nor'easters","Blue Storm Stadium","NCAAF",NA,NA,NA
"BLUEFIELD Ramblin' Rams","BLU39172","495","BLU","Bluefield","BLUEFIELD",NA,NA,NA,"Ramblin' Rams",NA,"NCAAF",NA,NA,NA
"British Columbia British Col","BBM32425","2080","BBM","Britsh Col","British Columbia","000000",NA,NA,"British Col",NA,"NCAAF",NA,NA,NA
"Campbellsville University Tigers","CMP29824","2098","CMPBVIL","Camplville","Campbellsville University",NA,NA,"https://a.espncdn.com/guid/f76ae38d-adc8-ca05-8b1f-566b0bd32457/logos/primary_logo_on_white_color.png","Tigers",NA,"NCAAF",NA,NA,NA
"Central Methodist Eagles","CDF42655","2860","CDF","C Methodst","Central Methodist","000000",NA,NA,"Eagles",NA,"NCAAF",NA,NA,NA
"Charlotte Saints","COL46529","3253","COLLE","Faith NC","Charlotte",NA,NA,NA,"Saints",NA,"NCAAF",NA,NA,NA
"Cole College Jaguars","COL60819","3210","COLE","Cole","Cole College",NA,NA,NA,"Jaguars",NA,"NCAAF",NA,NA,NA
"College of Idaho Yotes","COI37297","108382","COI","Coll. of Idaho","College of Idaho",NA,NA,NA,"Yotes",NA,"NCAAF",NA,NA,NA
"Concordia University Nebraska Clippers","CON61262","507","CONCONE","Cncrdia NE","Concordia University Nebraska",NA,NA,NA,"Clippers",NA,"NCAAF",NA,NA,NA
"Concordia-Michigan Cardinals","CON28850","2985","CONCMI","Cncrdia MI","Concordia-Michigan","000000",NA,NA,"Cardinals",NA,"NCAAF",NA,NA,NA
"Culver-Stockton College Wildcats","CUL09458","510","CULVE","Culvr-Stck","Culver-Stockton College",NA,NA,NA,"Wildcats",NA,"NCAAF",NA,NA,NA
"Cumberland (Kentucky) Indians","CUM31266","511","CUMB","Cmbrlnd KY","Cumberland (Kentucky)","000000",NA,NA,"Indians",NA,"NCAAF",NA,NA,NA
"Cumberland (Tennessee) Bulldogs","CUM28487","2161","CUMBTN","Cmbrlnd TN","Cumberland (Tennessee)",NA,NA,NA,"Bulldogs",NA,"NCAAF",NA,NA,NA
"Dakota State University Trojans","DAK56272","512","DAKOT","Dakota St","Dakota State University","000000",NA,"https://a.espncdn.com/i/teamlogos/ncaa/500/512.png","Dakota St",NA,"NCAAF",NA,NA,NA
"Dakota Wesleyan Tigers","DWU52795","513","DWU","Dakota Wes","Dakota Wesleyan",NA,NA,NA,"Dakota Wesleyan",NA,"NCAAF",NA,NA,NA
"Defiance College Yellow Jackets","DEF05127","190","DEF","Defiance","Defiance College","4e2d8a","ded27c","https://a.espncdn.com/i/teamlogos/ncaa/500/190.png","Yellow Jackets","Justin F. Coressel Stadium","NCAAF",NA,NA,NA
"Des Moines Vikings","GRA40173","2254","GRANDVIEW","Grand View","Des Moines",NA,NA,"https://a.espncdn.com/i/teamlogos/ncaa/500/2254.png","Vikings",NA,"NCAAF",NA,NA,NA
"Dickinson State University Blue Hawks","DIC33857","316","DIC","Dicknsn St","Dickinson State University","000000",NA,"https://a.espncdn.com/guid/ddfd8c06-89f1-9e9f-d698-ec5ed6637891/logos/primary_logo_on_white_color.png","Blue Hawks",NA,"NCAAF",NA,NA,NA
"East Texas A&M Lions","ETA52246","2837","ETAM","E Texas A&M","East Texas A&M","000000",NA,"https://a.espncdn.com/i/teamlogos/ncaa/500/2837.png","Lions","Memorial Stadium (Commerce TX)","NCAAF","Clint Dolezel","Vacant","Jack Tyler"
"Eastern Oregon","EOR33657","2202","EORE","E Oregon","Eastern Oregon",NA,NA,NA,"Eastern Oregon",NA,"NCAAF",NA,NA,NA
"Elgin Eagles","JUD28262","122775","JUDSO","JUDSON","Elgin",NA,NA,NA,"Eagles",NA,"NCAAF",NA,NA,NA
"Erie Kats","ECC37025","3236","ECC","Erie","Erie",NA,NA,NA,"Kats",NA,"NCAAF",NA,NA,NA
"Evangel University Crusaders","EVA31308","2865","EVA","Evangel","Evangel University",NA,NA,NA,"Crusaders",NA,"NCAAF",NA,NA,NA
"Faulkner University Eagles","FAU29440","2219","FAULKNER","Faulkner","Faulkner University","000000",NA,NA,"Eagles",NA,"NCAAF",NA,NA,NA
"Florida Memorial University Lions","FLA39020","125762","FLAMEMRL","Florida Memori","Florida Memorial University",NA,NA,NA,"Lions",NA,"NCAAF",NA,NA,NA
